Student ID,Name,Enrollment Status,School Year,Program,Year Level
20240011,Pedro Reyes,Enrolled,2026-2027,BS Nursing,1st Year
20240012,Liza Domingo,Not Enrolled,2026-2027,BA Political Science,2nd Year
20240013,Marco Ibarra,Enrolled,2026-2027,Bachelor of Secondary Education,3rd Year
20240014,Cristina Vale,Enrolled,2026-2027,Bachelor of Elementary Education,1st Year
20240015,Ramon Castillo,Not Enrolled,2026-2027,BA Political Science,4th Year
20240016,Ella Fernandez,Enrolled,2026-2027,BS Information Technology,2nd Year
20240017,Noel Aquino,Enrolled,2026-2027,Bachelor of Elementary Education,1st Year
20240018,Grace Tolentino,Not Enrolled,2026-2027,BS Business Administration,3rd Year
20240019,Victor Salazar,Enrolled,2026-2027,BS Accountancy,4th Year
20240020,Bea Manalo,Enrolled,2026-2027,Bachelor of Secondary Education,2nd Year
