"Student ID","First Name","Last Name","Gender","Birthdate","Email","Phone","School","Municipality","Barangay","Program","Major","Year Level","Semester","Scholarship Type","Enrollment Status"
20240011,"Angela","Abenion","Female","2006-03-14","angela.abenion@email.com","09171110011","College of Maasin","Maasin City","Tawid","BS Nursing","","1st Year","1st Semester","CMSP","Enrolled"
20240012,"Mark","Balaba","Male","2005-07-22","mark.balaba@email.com","09171110012","College of Maasin","Sogod","Pancil","BA Political Science","","2nd Year","1st Semester","TDP","Enrolled"
20240013,"Jenny","Cabuenas","Female","2004-11-05","jenny.cabuenas@email.com","09171110013","College of Maasin","Macrohon","Lower Villa Jacinta","Bachelor of Secondary Education","English","3rd Year","1st Semester","TES","Enrolled"
20240014,"Paolo","Dumdum","Male","2006-01-30","paolo.dumdum@email.com","09171110014","College of Maasin","Liloan","San Isidro","Bachelor of Elementary Education","","1st Year","1st Semester","COSCHO","Enrolled"
20240015,"Kristine","Escalona","Female","2003-09-18","kristine.escalona@email.com","09171110015","College of Maasin","Padre Burgos","Buenavista","BA Political Science","","4th Year","1st Semester","CMSP","Enrolled"
20240016,"Ronald","Fabillar","Male","2005-05-09","ronald.fabillar@email.com","09171110016","College of Maasin","Maasin City","Combado","BS Information Technology","","2nd Year","2nd Semester","TDP","Enrolled"
20240017,"Shiela","Gonzales","Female","2006-08-27","shiela.gonzales@email.com","09171110017","College of Maasin","Bontoc","Himakilo","Bachelor of Elementary Education","","1st Year","1st Semester","TES","Enrolled"
20240018,"Jomar","Hinlo","Male","2004-02-12","jomar.hinlo@email.com","09171110018","College of Maasin","Malitbog","Cadaruhan","BS Business Administration","Human Resource Development Management (HRDM)","3rd Year","1st Semester","COSCHO","Enrolled"
20240019,"Michelle","Ibarra","Female","2003-12-03","michelle.ibarra@email.com","09171110019","College of Maasin","Saint Bernard","Pinut-an","BS Accountancy","","4th Year","2nd Semester","CMSP","Enrolled"
20240020,"Neil","Jumawan","Male","2005-10-16","neil.jumawan@email.com","09171110020","College of Maasin","Tomas Oppus","Cabascan","Bachelor of Secondary Education","English","2nd Year","1st Semester","TDP","Enrolled"
